Nome,Zona,Indirizzo,Telefono,Fatturato,Sito web,Google Maps,Stato contatto,N° tentativi,Parlato con,Esito chiamata,Data follow-up,Data demo fissata,Qualificazione ,"Note (obiezioni, dettagli, info)"
TRASLOCHI DA MASSIMO DI COZZOLINO MASSIMO,Firenze,"Via Antonio del Pollaiolo, 204",=+39 055 715036,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Da%20Massimo%20Di%20Cozzolino%20Massimo&query_place_id=ChIJgbH0XytRKhMR4HKLkT1mNiA,Da chiamare,,,,,,,
EUROTRASLOCHI DI MANCINI,Firenze,"6/r v. Galliano, Firenze, FI 50144, Via Gaspare Luigi Spontini, 39",339 3861494,,https://www.eurotraslochifirenze.eu/,https://www.google.com/maps/search/?api=1&query=Eurotraslochi%20Di%20Mancini&query_place_id=ChIJ8ajT9LtWKhMR6tQuspc6an0,Incontro,1,Titolare,Non interessato,11/05/2026,,,Parlare con figliolo che si occupa della parte online
AUTO TRASLOCHI LUNA DI BOCCI STEFANO,Firenze,"Via A. Canova, 25",=+39 055 716263,,,https://www.google.com/maps/search/?api=1&query=Auto%20Traslochi%20Luna%20Di%20Bocci%20Stefano&query_place_id=ChIJ_5spYC5XKhMRiFWB5QtmjQ8,Da chiamare,,,,,,,
TRASLOCO ROSSI,Firenze,"Via Pistoiese, 209/A",,,,https://www.google.com/maps/search/?api=1&query=trasloco%20Rossi&query_place_id=ChIJ8WLZHVJXKhMRd0Vl-PbqBz8,Da chiamare,,,,,,,
TRASLOCHI E TRASPORTI & PULIZIE,Firenze,"Via Aretina, 127",=+39 324 090 3996,,http://damianlga.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20Trasporti%20%26%20Pulizie&query_place_id=ChIJ6WES3MxVKhMR-uyhbsIhZZM,Da chiamare,,,,,,,
MENARA TRASLOCHI - SGOMBERO - NOLEGGIO PIATTAFORME,Firenze,"Via delle Porte Nuove, 64",=+39 338 209 2428,,https://www.menaratraslochifirenze.com/,https://www.google.com/maps/search/?api=1&query=Menara%20Traslochi%20-%20Sgombero%20-%20Noleggio%20Piattaforme&query_place_id=ChIJcwrPRIlXKhMRODsBHuSkGC8,Chiamato,,Titolare,Richiama,12/05/2026,12/05/2026,,"il titolare si chiama Omar e stanno cambiando sede in questi giorni, passeranno da via delle porte nuove a scandicci. fanno preventivo con sopralluogo e si è mostrato interesato. "
JIMMY TRASLOCHI,Firenze,"Viale Don Giovanni Minzoni, 9r",328 826 6123,,,https://www.google.com/maps/search/?api=1&query=Jimmy%20Traslochi&query_place_id=ChIJZ9xqBABVKhMRB8TMi7BC8d0,Chiamato,,Titolare,Interessato,15/05/2026,,,"il titolare Jimmi si è mostrato interessato, ma quello che si occupa dei preventivi è attualmente infortunato e tornerà tra 2 mesi. ho chiesto se era possibile fissare una videochiamata ma è anziano e impossibilitato"
FROSECCHI LOGISTICA TRASLOCHI & TRASPORTI,Firenze,"Via Giuseppe di Vittorio, 48",=+39 055 324 9303,,https://frosecchi.com/,https://www.google.com/maps/search/?api=1&query=Frosecchi%20Logistica%20Traslochi%20%26%20Trasporti&query_place_id=ChIJS5UwfwBXKhMRLvqyeUh2Ya4,Da chiamare,,,,,,,
LEONTRASLOCHI,Firenze,"Via di Ripoli, 11",=+39 388 787 4445,,,https://www.google.com/maps/search/?api=1&query=Leontraslochi&query_place_id=ChIJxyJeCf5TKhMRt6UAM0KX8tI,Da chiamare,,,,,,,
TRASLOCHI FACILE FIRENZE,Firenze,"P.za della Libertà, 82",=+39 329 266 6162,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Facile%20Firenze&query_place_id=ChIJwRyTMU1VKhMRrl8SrxWTByg,Da chiamare,,,,,,,
ARES TRASLOCHI SRL,Firenze,"Via Giannotto Bastianelli, 14",=+39 351 680 9073,,,https://www.google.com/maps/search/?api=1&query=ARES%20TRASLOCHI%20SRL&query_place_id=ChIJiZIZW9pXKhMRmDIqqUIKGf8,Da chiamare,,,,,,,
LA FORTEZZA TRASLOCHI SRL,Firenze,"Lungarno degli Acciaiuoli, 10",=+39 055 238 1095,,,https://www.google.com/maps/search/?api=1&query=La%20Fortezza%20Traslochi%20Srl&query_place_id=ChIJHV8vHABUKhMRX30TD0nqKTg,Da chiamare,,,,,,,
TAU IONEL TEOFIL SERVIZIO DI TRASLOCHI TRASPORTI E SGOMBERI,Firenze,"Via Guido Alessi, 2",=+39 347 520 9552,,https://tau-ionel-teofil.com/,https://www.google.com/maps/search/?api=1&query=Tau%20Ionel%20Teofil%20Servizio%20Di%20Traslochi%20Trasporti%20E%20Sgomberi&query_place_id=ChIJK6ZSDS5XKhMRAyizaNf0-X4,Da chiamare,,,,,,,
TRASLOCHI PONTE ROSSO,Firenze,"Via del Ponte Rosso, 55/R",=+39 055 473015,,https://www.traslochiponterosso.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Ponte%20Rosso&query_place_id=ChIJNWx-cxhUKhMRlKvXCxReyqI,Da chiamare,,,,,,,
PALOKA TRASLOCHI,Firenze,"Via Ottavio Rinuccini, 27/G",=+39 342 129 7705,,https://palokatraslochi.it/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/search/?api=1&query=Paloka%20Traslochi&query_place_id=ChIJm1RwLchRKhMRYzV_ARADLbU,Da chiamare,,,,,,,
TRASLOCHI E TRASPORTI F01,Firenze,"Via Giovanni Costetti, 48",=+39 338 886 4009,,https://www.traslochif01.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20trasporti%20F01&query_place_id=ChIJ8Uvau5tXKhMRtUG_TVr3PDw,Da chiamare,,,,,,,
DM TRASLOCHI FIRENZE,Firenze,"Via Lucca, 42",=+39 388 991 1119,,https://www.dm-traslochi-firenze.it/,https://www.google.com/maps/search/?api=1&query=DM%20Traslochi%20Firenze&query_place_id=ChIJW_u6xCFMMYoRswWREH6-hGY,Da chiamare,,,,,,,
TRASLOCHI DIMA,Firenze,"Viale Don Giovanni Minzoni, 9",=+39 370 157 9642,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Dima&query_place_id=ChIJjWKR99pVKhMRyTW3Uk4AOyA,Da chiamare,,,,,,,
CARPE DIEM TRASLOCHI FIRENZE DI FRANCESCO RABBITI,Firenze,"V. Baccio da Montelupo, 40/E",=+39 338 470 7607,,,https://www.google.com/maps/search/?api=1&query=Carpe%20Diem%20Traslochi%20Firenze%20Di%20Francesco%20Rabbiti&query_place_id=ChIJ523cmNVQKhMRNOzrQLDMiiE,Da chiamare,,,,,,,
TRASLOCHI LA QUERCE,Firenze,"Viale Manfredo Fanti, 7/g",=+39 055 588716,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20La%20Querce&query_place_id=ChIJ-y7_4mtUKhMRulU90UjNx-Q,Chiamato,,Titolare,Non interessato,,,,ha gia provato a configurare preventivi online in passato ma non si è trovato
A B I TRASLOCHI FIRENZE MILIANI & MILIO STORAGE FIRENZE,Firenze,"Via Bronzino, 38, Via delle Porte Nuove, 30",=+39 335 801 6035,,http://traslochifirenze.it/,https://www.google.com/maps/search/?api=1&query=A%20B%20I%20Traslochi%20Firenze%20Miliani%20%26%20MILIO%20STORAGE%20FIRENZE&query_place_id=ChIJ2bmIpgNXKhMR3FhaMgLymbA,Da chiamare,,,,,,,
A.B.I. TRASLOCHI FIRENZE MILIANI,Firenze,"Via di S. Bartolo a Cintoia, 4",=+39 335 801 6035,,http://www.traslochifirenze.it/,https://www.google.com/maps/search/?api=1&query=A.b.i.%20TRASLOCHI%20FIRENZE%20MILIANI&query_place_id=ChIJ2fyGXzFXKhMRejEP8xKHWjk,Da chiamare,,,,,,,
TRASLOCHI ZORRO FIRENZE,Firenze,"Via Volterrana, 9",=+39 320 802 7327,,https://www.traslochizorro.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Zorro%20Firenze&query_place_id=ChIJlTGvZCZpKhMR9nQCAJTzX-E,Da chiamare,,,,,,,
TRASLOCHI PERFETTI DI CIUFFI E DESSI' SNC,Firenze,"Via Giovan Filippo Mariti, 9","393 963 5497
393 9910124",,http://www.traslochiperfetti.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Perfetti%20Di%20Ciuffi%20E%20Dessi'%20Snc&query_place_id=ChIJZx2xy5VWKhMRZyysE83urT4,Da chiamare,,,,,,,
ELBA TRASLOCHI,Poggio,"LOCALITA' CASTORMO, 1",=+39 335 662 3739,,https://www.elbatraslochi.it/,https://www.google.com/maps/search/?api=1&query=Elba%20Traslochi&query_place_id=ChIJ_TReIJxO1hIRqm3Sxy7LOEk,Da chiamare,,,,,,,
ELBA TRASLOCHI DI FABIO MURZI,Poggio,"Via Ulisse Leoni, 2",=+39 335 662 3739,,http://www.elbatraslochi.it/,https://www.google.com/maps/search/?api=1&query=Elba%20Traslochi%20Di%20Fabio%20Murzi&query_place_id=ChIJy_fw7-pL1hIRtWmE8HznVd4,Da chiamare,,,,,,,
SM TRASPORTI E TRASLOCHI FIRENZE,Fiesole,"Via del Olmo, 3",=+39 334 282 0656,,,https://www.google.com/maps/search/?api=1&query=SM%20trasporti%20e%20traslochi%20Firenze&query_place_id=ChIJn01YDrP_KhMRbdKWmcI9pWc,Da chiamare,,,,,,,
COOPERATIVA TRASLOCHI GIGA SOC. COOP. A R.L.,Scandicci,"Via Alessandro Manzoni, 40",=+39 055 250873,,,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Traslochi%20Giga%20Soc.%20Coop.%20A%20R.L.&query_place_id=ChIJw28cwupQKhMREcLKcWxz4FA,Da chiamare,,,,,,,
PRONTOSERVIZI TRASLOCHI SCANDICCI,Scandicci,"Via Gaetano Salvemini, 4",=+39 055 780760,,https://www.traslochimiliani.it/,https://www.google.com/maps/search/?api=1&query=Prontoservizi%20traslochi%20Scandicci&query_place_id=ChIJcbRFSElRKhMRZhdZDHR9blE,Da chiamare,,,,,,,
TRASLOCHI NOVOLI DI MAURIZIO ROSSI,Scandicci,"V. Baccio da Montelupo, 10B",=+39 335 163 6648,,Traslochinovoli,https://www.google.com/maps/search/?api=1&query=Traslochi%20novoli%20di%20maurizio%20rossi&query_place_id=ChIJe3sZ8WZRKhMRtq4Lqx6nTuA,Da chiamare,,,,,,,
ENEA TRASLOCHI E SGOMBERI,Scandicci,"Via Pisana, 662",=+39 371 493 1763,,https://www.eneatraslochiesgomberi.it/,https://www.google.com/maps/search/?api=1&query=Enea%20Traslochi%20e%20Sgomberi&query_place_id=ChIJ569OlAFRKhMR5A2HESgIQo0,Da chiamare,,,,,,,
TRASLOCHI NIMI,Grassina,"Via A. Meucci, 9",=+39 055 641388,,https://www.traslochinimi.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20NIMI&query_place_id=ChIJdepMkKhTKhMRPVfwm8W-x1o,Da chiamare,,,,,,,
LABRADOR TRASLOCHI SRL,Sesto Fiorentino,"Via A. Gramsci, 259",=+39 055 896 6085,,,https://www.google.com/maps/search/?api=1&query=Labrador%20Traslochi%20Srl&query_place_id=ChIJA2pHKM9XKhMRl2tHiAjfWRQ,Da chiamare,,,,,,,
TRASLOCHI FIRENZE COMETA SRLS 24,San Donnino,"Via Trento, 446",=+39 329 454 0460,,,https://www.google.com/maps/search/?api=1&query=TRASLOCHI%20FIRENZE%20COMETA%20SRLS%2024&query_place_id=ChIJ0fjWI15ZKhMR1TYvsdlOvvk,Da chiamare,,,,,,,
MICHELANGELO ARREDAMENTI E TRASLOCHI FIRENZE,San Donnino,"Via Erbosa, 66",=+39 329 393 3786,,https://michelangelotraslochi.it/,https://www.google.com/maps/search/?api=1&query=Michelangelo%20Arredamenti%20e%20Traslochi%20Firenze&query_place_id=ChIJkz2BoilZKhMRuyAV9yGem-A,Da chiamare,,,,,,,
TRASLOCHI FRASSI LOCALI & INTERNAZIONALI,Cascine Nuove,"Località Cascine Nuove, 11",=+39 327 131 7952,,https://www.frassitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Frassi%20Locali%20%26%20Internazionali&query_place_id=ChIJ570_6wyV1RIRm2tvkXkOOKc,Da chiamare,,,,,,,
DALMAZIA TRASLOCHI,Campi Bisenzio,"Via Filippo Brunelleschi, 2",=+39 055 892136,,,https://www.google.com/maps/search/?api=1&query=Dalmazia%20Traslochi&query_place_id=ChIJQel2v3xYKhMRXeWDxrf1jDY,Da chiamare,,,,,,,
FIORENTINA TRASLOCHI,Campi Bisenzio,"Via Filippo Brunelleschi, 2/A",=+39 055 892136,,http://www.fiorentinatraslochi.it/,https://www.google.com/maps/search/?api=1&query=Fiorentina%20Traslochi&query_place_id=ChIJQel2v3xYKhMRplrZBUSwrBU,Da chiamare,,,,,,,
ABI TRASLOCHI E STORAGE FIRENZE MILIANI,Lastra a Signa,"Via dei Ceramisti, 4/6",=+39 335 801 6035,,http://www.traslochifirenze.it/,https://www.google.com/maps/search/?api=1&query=ABI%20TRASLOCHI%20e%20STORAGE%20FIRENZE%20MILIANI&query_place_id=ChIJha1J8iZbKhMRw2YniUp-KlI,Da chiamare,,,,,,,
TRASLOCHI E SGOMBERI FIRENZE TOSCABOX,Lastra a Signa,"Via Romania, 5d",=+39 351 941 7579,,https://www.toscabox.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20Sgomberi%20Firenze%20toscaBox&query_place_id=ChIJlQKCM-OPwAURekCDxTNaHzU,Da chiamare,,,,,,,
KAMAL TRASLOCHI & SGOMBERI,Signa,"Via S. Lorenzo, 8",=+39 371 636 7507,,https://kamaltraslochi.online/,https://www.google.com/maps/search/?api=1&query=Kamal%20Traslochi%20%26%20Sgomberi&query_place_id=ChIJNU0aC-H33aARm-I4npxKyGo,Da chiamare,,,,,,,
HAD TRASLOCHI,Calenzano,"Via Erbosa, 23",=+39 329 588 9174,,https://hadtraslochi.it/,https://www.google.com/maps/search/?api=1&query=HAD%20TRASLOCHI&query_place_id=ChIJ8XdfRVZZKhMRS8bqKWRMoXI,Da chiamare,,,,,,,
TRASPORTI TRASLOCHI SGOMBRI,Prato,,=+39 333 880 5868,,,https://www.google.com/maps/search/?api=1&query=Trasporti%20Traslochi%20Sgombri&query_place_id=ChIJnXrKXwD3KhMRxS229B15Txk,Da chiamare,,,,,,,
PICCHI TRASLOCHI,Prato,"Via Firenze, 74/E",=+39 393 136 8588,,https://www.picchitraslochi.com/,https://www.google.com/maps/search/?api=1&query=Picchi%20Traslochi&query_place_id=ChIJbTlRtav3KhMR2UTfRq_XZFQ,Da chiamare,,,,,,,
LA TOSCANA TRASLOCHI,Prato,"Via Gaddi Agnolo, 25",=+39 0574 562877,,,https://www.google.com/maps/search/?api=1&query=La%20Toscana%20Traslochi&query_place_id=ChIJ6_wBzzb2KhMRF37IaOeN8dQ,Da chiamare,,,,,,,
TRASLOCHI D.F.F.,Prato,"Via Tirso, 13",=+39 0574 691337,,https://www.traslochidff.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20D.F.F.&query_place_id=ChIJhWm9QYr2KhMR3h5EX6DPilM,Da chiamare,,,,,,,
LISUSS TRASLOCHI,Prato,,,,,https://www.google.com/maps/search/?api=1&query=LISUSS%20TRASLOCHI&query_place_id=ChIJ3RX6YQD3KhMRcjQIXS8LbtM,Da chiamare,,,,,,,
TS TRASLOCHI A360 PRATO,Prato,"Via del Mandorlo, 20",=+39 348 729 3664,,https://tstraslochi.com/,https://www.google.com/maps/search/?api=1&query=Ts%20Traslochi%20A360%20Prato&query_place_id=ChIJjyaEAQD3KhMRhsD2QOrkzCs,Da chiamare,,,,,,,
GIGLIO TRASLOCHI,Prato,"Via del Molinuzzo, 81-77",=+39 055 888 6821,,https://www.gigliotraslochi.it/,https://www.google.com/maps/search/?api=1&query=Giglio%20Traslochi&query_place_id=ChIJHXQWc09fKhMRsPt-d4sgbJk,Da chiamare,,,,,,,
TRASLOCHI FRATINI BRUNO,Prato,"Via Giovanni Bertini, 3",=+39 0574 727266,,https://fratinibruno.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20FRATINI%20BRUNO&query_place_id=ChIJv14ryDr2KhMRJTHQ8HReaB0,Da chiamare,,,,,,,
TRASPORTI E TRASLOCHI ANGIOLI,Empoli,"Via Livornese, 246",=+39 0571 931302,,https://www.trasportiangioli.it/,https://www.google.com/maps/search/?api=1&query=Trasporti%20e%20Traslochi%20Angioli&query_place_id=ChIJE-__HXBpKhMREk-FHzABatM,Da chiamare,,,,,,,
TRASLOCHI PACICARD SNC,Empoli,"Via Maestri del Lavoro, 17",=+39 0571 590278,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Pacicard%20Snc&query_place_id=ChIJQa_n6otnKhMRfhDycl3BqLQ,Da chiamare,,,,,,,
TRASLOCHI TOSCANA 24ORE EMPOLI TRASLOCHI,Empoli,"Via della Repubblica, 41",=+39 329 454 0460,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Toscana%2024ore%20Empoli%20traslochi&query_place_id=ChIJ1_ZuQKdpKhMRuiBVOA-1giE,Da chiamare,,,,,,,
VITICCHI TRASLOCHI,San Giovanni Valdarno,"Via Ubaldino Peruzzi, 15",,,,https://www.google.com/maps/search/?api=1&query=Viticchi%20Traslochi&query_place_id=ChIJJ9gIM-y5KxMRKvkP8zNtrKk,Da chiamare,,,,,,,
TRASLOCHI VALERIO TOSI,Pistoia,"Via Eugenio Montale, 191",=+39 0573 451574,,https://www.traslochivaleriotosi.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Valerio%20Tosi&query_place_id=ChIJxfT1-AeLKhMR7Zd9SmDpRD4,Da chiamare,,,,,,,
TRASLOCHI BARTOLINI,Pistoia,"Via Pagliucola, 77",=+39 0573 364091,,https://www.traslochibartolini.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Bartolini&query_place_id=ChIJ--Hkf5GLKhMRzoby4sMDpn8,Da chiamare,,,,,,,
TRASLOCHI POLI VALERIO,Pistoia,"Via Buonfanti, 50",=+39 0573 21684,,https://www.facebook.com/mobilivintagepoli?fref=ts,https://www.google.com/maps/search/?api=1&query=Traslochi%20Poli%20Valerio&query_place_id=ChIJzxnBcJaLKhMRbmrJQdXlIu8,Da chiamare,,,,,,,
TRASLOCHI PERTICI DI FRANCO PERTICI,San Miniato,"Via dei Prati, 24",=+39 339 723 0585,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20Pertici%20di%20Franco%20Pertici&query_place_id=ChIJwWsEiQJvKhMRk_L8NxzVVEc,Da chiamare,,,,,,,
TRASLOCHI BM,San Miniato,"Via Tosco Romagnola Est, 996",=+39 333 326 5795,,http://traslochibm.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20BM&query_place_id=ChIJ0bYq9d9uKhMRKmhMpeCyGL4,Da chiamare,,,,,,,
TRASLOCHI ROSELLINI FABIO ROSELLINI,Monsummano Terme,"Via del Riposo, 19",=+39 393 175 3688,,http://traslochirosellini.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Rosellini%20Fabio%20Rosellini&query_place_id=ChIJc659R79iKhMRBsMgyOGTO3Q,Da chiamare,,,,,,,
TRASLOCHI F.LLI FABBRINI,Montevarchi,"Via Sante Tani, 22",=+39 335 752 4690,,https://www.traslochivaldarno.com/,https://www.google.com/maps/search/?api=1&query=TRASLOCHI%20F.LLI%20FABBRINI&query_place_id=ChIJGUwfs1-4KxMRszL-w6OUCZw,Da chiamare,,,,,,,
TRASLOCHI GIROLAMI,Montevarchi,"Via Soldani Massimiliano, 1",=+39 055 910 2081,,https://www.traslochigirolami.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Girolami&query_place_id=ChIJw3yUMVy4KxMRXg_2xSK9WrI,Da chiamare,,,,,,,
COZZOLINO TRASPORTI E TRASLOCHI,Campo Tizzoro,,,,,https://www.google.com/maps/search/?api=1&query=Cozzolino%20Trasporti%20e%20Traslochi&query_place_id=ChIJnw-nUtyRKhMRcvyNwDpvtYs,Da chiamare,,,,,,,
