nome_azienda,nome_decisore,ruolo_decisore,email,telefono,tipo_numero,citta,settore,website,fonte_numero
B.T.V. Truck Srl,,,,+393387192362,cellulare,,,,https://btvtruck.org
Kedos Srl,,,,+390236741057,fisso,,,,https://www.kedos-srl.it
S.T.I.M.A. Srl,,,,+390574718898,fisso,,,,https://www.stimasrl.com/contatti/
Tecnolibri Distribuzione Srl,,,,+390558826698,fisso,,,,"https://www.tecnolibri.it (footer, link tel:)"
Www Tuscanfarm.Com Srl,,,,+393338503846,cellulare,,,,"https://tuscanfarm.com (widget WhatsApp ufficiale click-to-chat, number 393338503846)"
Sofin Srl,,,,+393486487219,cellulare,,,,"https://www.carcoverit.com/ (contatti, redirect da carcover.it)"
Medi Nova Sas Di Melli Paola E C.,,,,+390522920161,fisso,,,,https://www.medi-nova.it/ (footer: Tel +39 0522 920161)
Martelli Marmi Srl,,,,+39051711765,fisso,,,,https://martellimarmi.it/ (link tel: 051.711765)
Elfi Systems Srl,,,,+390522448411,fisso,,,,https://elfisystems.it
Finturist Spa,,,,+39059851505,fisso,,,,https://modenadistrict.it
Milosped Srl,,,,+390521291399,fisso,,,,"https://www.milosped.it/ (Tel. 0521 291399, link tel:)"
C.M. Gronde Srl,,,,+39059819190,fisso,,,,https://cmgronde.it/ (link tel: +39 059 819190)
Ensi Srl,,,,+393245491203,cellulare,,,,https://gianno.it/contatti
Great Estate Immobiliare Srl,,,,+393511667107,cellulare,,,,https://greatestate.it
Croce Verde Novafeltria Soc Coop Sociale,,,,+390541922121,fisso,,,,https://croceverdenovafeltria.it/contatti.html
Italian Taste Lodovichi Srl,,,,+390575849099,fisso,,,,"https://italiantastelodovichi.it (footer, link tel:)"
Centro Mac Srl,,,,+390574623111,fisso,,,,https://centromac.it (link tel:0574/623111)
Prosciuttificio Borgo Antico Srl,,,,+39059534711,fisso,,,,https://alcaruno.it (footer contatti)
Manghi Bruno Srl,,,,+390521980883,fisso,,,,"https://manghibruno.it (header e sezione Contatti, etichetta Telefono)"
Faroldi Srl,,,,+393355215065,cellulare,,,,https://faroldi.it (footer contatti)
Essential Srl,,,,+393396550436,cellulare,,,,https://www.essential-flavours.it/contatti/ (cellulare diretto General Manager)
New Day Srl Semplificata,,,,+393397000878,cellulare,,,,"https://hotelcaesar.net (header/footer, link tel:)"
Errecars Srl,,,,+393317522241,cellulare,,,,https://www.erre-cars.it/contatti/
F.I.P. Forniture Industriali Parmensi Srl,,,,+390354192777,fisso,,,,https://pneumaxspa.com
Sicas Srl,,,,+390257514340,fisso,,,,https://www.sicas.eu (redirect da sicas.net)
Societa' Agricola Querciabella Spa,,,,+3905585927777,fisso,,,,https://querciabella.com/contact
Societa' Agricola Salvadonica Di Beatrice E Francesca Baccet,,,,+393929859061,cellulare,,,,https://salvadonica.com
Societa Cooperativa Autocustodi Fiorentini S.C.A.F. Soc Coop,,,,+39055363362,fisso,,,,https://web.scaf.fi.it/
Toscoavicola Srl,,,,+390558969151,fisso,,,,https://toscoavicola.it
Trattoria 4 Leoni Srl,,,,+39055218562,fisso,,,,http://www.4leoni.it/contatti (link tel:+39055218562)
Unione Dei Comuni Circondario Dell'Empolese Valdelsa,,,,+390571757201,fisso,,,,https://www.empolese-valdelsa.it
White River Srl,,,,+3905519982670,fisso,,,,https://www.whiteriver.it
Bertuccia Srl Sb,,,,+393931122233,cellulare,,,,"https://ecovillaggiomontale.it/contatti (etichetta Telefono, footer e pagina contatti - Stefano vendite)"
Migliaccio Srl,,,,+390298282130,fisso,,,,"https://www.gruppomigliaccio.it/ (footer Tel. 02.982.82.130, sito di gruppo redirect da gruppomigliaccio.com)"
Pm Ristrutturazioni Srl,,,,+393274229967,cellulare,,,,https://pmristrutturazioni.it (Cellulare 3274229967; fisso alternativo 0516516158)
I.T.C. 2000 Srl,,,,+393383990498,cellulare,,,,https://www.itc2000.it/contatti-itc-2000/
System Engineering & Information Technology Srl,,,,+390522273850,fisso,,,,https://seit.it
Bastelli Hts Srl,,,,+390516012628,fisso,,,,https://bastellihts.it
"Ricci Franco & Figli Snc Di Ricci Lorenzo, Roberto E Riccard",,,,+390575592555,fisso,,,,https://www.ingrossoprodottiortofrutticoli-riccifranco.com/
Moratti Catellani Srl,,,,+390522941011,fisso,,,,https://moratticatellani.it
